날짜,품목명,가격
2021-06-30,대파,1000
2021-06-30,마늘,6750
2021-07-01,배추,600
2021-07-01,무,550
2021-07-01,양파,805
2021-07-01,대파,900
2021-07-01,마늘,6750
2021-07-02,배추,460
2021-07-02,무,600
2021-07-02,양파,805
2021-07-02,대파,900
2021-07-02,마늘,6750
2021-07-05,배추,860
2021-07-05,무,700
2021-07-05,양파,790
2021-07-05,대파,1550
2021-07-05,마늘,6750
2021-07-06,배추,740
2021-07-06,무,700
2021-07-06,양파,805
2021-07-06,대파,1620
2021-07-06,마늘,6750
2021-07-07,배추,760
2021-07-07,무,750
2021-07-07,양파,830
2021-07-07,대파,1720
2021-07-07,마늘,6750
2021-07-08,배추,700
2021-07-08,무,750
2021-07-08,양파,850
2021-07-08,대파,1550
2021-07-08,마늘,6750
2021-07-09,배추,780
2021-07-09,무,700
2021-07-09,양파,850
2021-07-09,대파,1500
2021-07-09,마늘,6750
2021-07-12,배추,760
2021-07-12,무,650
2021-07-12,양파,850
2021-07-12,대파,1200
2021-07-12,마늘,7950
2021-07-13,배추,640
2021-07-13,무,480
2021-07-13,양파,830
2021-07-13,대파,1100
2021-07-13,마늘,7950
2021-07-14,배추,500
2021-07-14,무,470
2021-07-14,양파,805
2021-07-14,대파,950
2021-07-14,마늘,7950
2021-07-15,배추,500
2021-07-15,무,450
2021-07-15,양파,765
2021-07-15,대파,1000
2021-07-15,마늘,7950
2021-07-16,배추,500
2021-07-16,무,450
2021-07-16,양파,765
2021-07-16,대파,1200
2021-07-16,마늘,7950
2021-07-19,배추,600
2021-07-19,무,500
2021-07-19,양파,905
2021-07-19,대파,1300
2021-07-19,마늘,7950
2021-07-20,배추,700
2021-07-20,무,580
2021-07-20,양파,875
2021-07-20,대파,1320
2021-07-20,마늘,7950
2021-07-21,배추,560
2021-07-21,무,520
2021-07-21,양파,875
2021-07-21,대파,1500
2021-07-21,마늘,7950
2021-07-22,배추,540
2021-07-22,무,480
2021-07-22,양파,825
2021-07-22,대파,1250
2021-07-22,마늘,7950
2021-07-23,배추,560
2021-07-23,무,510
2021-07-23,양파,900
2021-07-23,대파,1200
2021-07-23,마늘,7950
2021-07-26,배추,760
2021-07-26,무,570
2021-07-26,양파,955
2021-07-26,대파,1200
2021-07-26,마늘,7950
2021-07-27,배추,860
2021-07-27,무,620
2021-07-27,양파,955
2021-07-27,대파,1070
